Edad,Total,Hombres,Mujeres,etn_Total,etn_Hombres,etn_Mujeres
80 o más,99995,50287,49708,12471,6135,6336
75 a 79,91239,48907,42332,12007,6366,5641
70 a 74,129686,70986,58700,16527,8876,7651
65 a 69,164701,88940,75761,21249,11158,10091
60 a 64,221824,120855,100969,30096,16200,13896
55 a 59,241761,129694,112067,32986,17425,15561
50 a 54,300752,161316,139436,42229,22342,19887
45 a 49,308007,162979,145028,44568,23261,21307
40 a 44,325247,170486,154761,50997,26695,24302
35 a 39,332669,167880,164789,58510,29544,28966
30 a 34,340750,171070,169680,64867,32898,31969
25 a 29,332249,164390,167859,72127,36410,35717
20 a 24,389474,196952,192522,92191,47549,44642
15 a 19,479864,246208,233656,112481,59037,53444
10 a 14,523722,268565,255157,126175,66151,60024
5 a 9,465299,236927,228372,125569,65626,59943
0 a 4,379495,193208,186287,115082,60142,54940
